Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Saudi Arabia,83800,90100,91300,110700,103100,101445,90300,107775,116527,111755,117112,109451,110702,106582,101709,107106,110069,118200,123894,125064,130249,130269,134137,137271,143554,152497,161578,163235,163318,164704,171872,179084,186617,193087,196232,196015,192703,188738,189703,192920
St. Lucia,22079,17123,16980,21200,25809,24418,25409,27656,22205,19896,20929,18859,20551,18712,17835,16218,13669,15713,13500,17545,15122,12511,10647,9656,12583,9802,9800,10000,10200,10300,9031,8779,8495,8210,6793,7004,6743,6587,6244,5922
St. Vincent and the Grenadines,118,118,118,118,114,112,110,110,112,109,112,112,109,101,101,101,101,101,109,116,127,125,125,125,125,93,60,90,119,105,98,78,61,51,49,51,46,49,51,55
Suriname,455,491,510,528,555,555,564,573,564,564,555,564,564,573,582,546,501,510,528,528,528,364,382,382,419,419,437,437,455,455,455,455,436,432,434,431,426,426,425,423
Trinidad and Tobago,272,275,279,290,299,272,253,217,253,244,226,217,226,226,226,226,226,226,226,226,217,210,199,182,182,182,181,199,199,208,213,220,208,206,212,213,201,202,207,202
Uruguay,1179,1298,1355,1365,1436,1468,1256,1270,1445,1929,2250,2660,2637,2480,1700,1800,1814,2033,2112,2246,1952,1890,1606,1607,1483,1338,1610,1594,1726,1891,1882,1940,1850,1674,1660,1474,1934,1903,1616,1656
Venezuela*,2012,1746,1648,1396,1375,1236,1233,1324,1782,1499,1206,1203,989,1007,1148,1175,1210,1069,913,982,810,823,859,762,765,765,600,500,700,1250,1155,975,993,1008,963,876,837,861,874,886
Arbania,336000,387000,397357,432252,301217,332425,323500,278500,328682,363991,334552,320446,328617,309663,361399,337585,406961,454403,449900,457700,453123,317000,411841,424211,496498,590000,600000,522982,526869,491213,524000,479000,484787,491700,517500,536769,564878,594122,589732,580320
Austria,346384,341574,335551,337358,298351,323568,313261,275789,307097,337601,381911,337218,365253,393534,351174,315567,349551,422853,407601,391070,428755,418182,428845,435181,375982,424656,515946,480897,482965,492276,469932,488653,584838,577183,524008,434306,436566,436516,437516,470284
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
